, , training loss, validation accuracy, validation loss,Epoch,Unnamed: 5,Unnamed: 6
0, ,2.301086,0.220000,2.297514,1,,
3, ,2.295362,0.241000,2.291074,2,,
6, ,2.288141,0.269000,2.282194,3,,
9, ,2.277923,0.317000,2.268790,4,,
12, ,2.261089,0.366000,2.245547,5,,
15, ,2.229756,0.404000,2.197603,6,,
18, ,2.156859,0.478000,2.068461,7,,
21, ,1.923844,0.577000,1.605591,8,,
24, ,1.245833,0.665000,0.975560,9,,
27, ,1.835614,0.565000,1.446032,10,,
30, ,1.205992,0.736000,0.812752,11,,
33, ,0.646777,0.833000,0.577133,12,,
36, ,0.465353,0.875000,0.424731,13,,
39, ,0.348636,0.903000,0.343547,14,,
42, ,0.281204,0.923000,0.301322,15,,
45, ,0.235393,0.920000,0.275460,16,,
48, ,0.206706,0.925000,0.260441,17,,
51, ,0.184146,0.937000,0.242635,18,,
54, ,0.162935,0.933000,0.233681,19,,
57, ,0.147357,0.942000,0.226147,20,,
60, ,0.133237,0.933000,0.225515,21,,
63, ,0.123050,0.938000,0.218597,22,,
66, ,0.112597,0.941000,0.217374,23,,
69, ,0.103435,0.941000,0.217190,24,,
72, ,0.096270,0.941000,0.216294,25,,
75, ,0.088762,0.945000,0.204012,26,,
78, ,0.078801,0.949000,0.197632,27,,
81, ,0.072067,0.948000,0.198461,28,,
84, ,0.067346,0.948000,0.196242,29,,
87, ,0.063795,0.945000,0.209526,30,,
90, ,0.057572,0.950000,0.189981,31,,
93, ,0.054938,0.950000,0.194832,32,,
96, ,0.049348,0.951000,0.201552,33,,
99, ,0.044883,0.946000,0.209211,34,,
102, ,0.040792,0.952000,0.201802,35,,
105, ,0.038721,0.950000,0.199809,36,,
108, ,0.035166,0.950000,0.209196,37,,
111, ,0.031667,0.951000,0.196965,38,,
114, ,0.027907,0.948000,0.205657,39,,
117, ,0.028409,0.951000,0.193628,40,,
120, ,0.023133,0.949000,0.198202,41,,
123, ,0.021029,0.953000,0.201564,42,,
126, ,0.019907,0.952000,0.206982,43,,
129, ,0.018084,0.954000,0.203746,44,,
132, ,0.016880,0.950000,0.212531,45,,
135, ,0.014225,0.955000,0.213145,46,,
138, ,0.012836,0.954000,0.217163,47,,
141, ,0.011705,0.952000,0.217661,48,,
144, ,0.010623,0.953000,0.218837,49,,
147, ,0.009160,0.956000,0.219831,50,,
150, ,0.008278,0.955000,0.227690,51,,
153, ,0.008058,0.958000,0.229748,52,,
156, ,0.006924,0.956000,0.232882,53,,
159, ,0.006423,0.957000,0.229388,54,,
162, ,0.005536,0.957000,0.234542,55,,
165, ,0.005665,0.954000,0.232056,56,,
168, ,0.005036,0.957000,0.236185,57,,
171, ,0.004602,0.956000,0.242078,58,,
174, ,0.004378,0.956000,0.239773,59,,
177, ,0.003966,0.958000,0.241451,60,,
180, ,0.003740,0.957000,0.245981,61,,
183, ,0.003454,0.959000,0.245587,62,,
186, ,0.003503,0.957000,0.247194,63,,
189, ,0.003137,0.957000,0.247723,64,,
192, ,0.003108,0.956000,0.245745,65,,
195, ,0.002745,0.957000,0.252655,66,,
198, ,0.002631,0.957000,0.252527,67,,
201, ,0.002503,0.957000,0.250591,68,,
204, ,0.002461,0.957000,0.251512,69,,
207, ,0.002330,0.958000,0.259706,70,,
210, ,0.002181,0.957000,0.256294,71,,
213, ,0.002069,0.957000,0.261052,72,,
216, ,0.001988,0.957000,0.259614,73,,
219, ,0.001890,0.957000,0.262535,74,,
222, ,0.001858,0.957000,0.260883,75,,
225, ,0.001802,0.957000,0.263155,76,,
228, ,0.001692,0.957000,0.264797,77,,
231, ,0.001666,0.957000,0.267707,78,,
234, ,0.001574,0.958000,0.269307,79,,
237, ,0.001519,0.957000,0.266700,80,,
240, ,0.001483,0.957000,0.270974,81,,
243, ,0.001431,0.957000,0.269879,82,,
246, ,0.001382,0.957000,0.271445,83,,
249, ,0.001311,0.957000,0.274082,84,,
252, ,0.001273,0.957000,0.273321,85,,
255, ,0.001240,0.957000,0.273735,86,,
258, ,0.001223,0.956000,0.275022,87,,
261, ,0.001208,0.957000,0.277812,88,,
264, ,0.001145,0.957000,0.277137,89,,
267, ,0.001109,0.957000,0.279979,90,,
270, ,0.001079,0.957000,0.279962,91,,
273, ,0.001302,0.956000,0.270422,92,,
276, ,0.001263,0.958000,0.276047,93,,
279, ,0.001228,0.959000,0.271997,94,,
282, ,0.001193,0.957000,0.274053,95,,
285, ,0.001172,0.956000,0.271473,96,,
288, ,0.001119,0.959000,0.276801,97,,
291, ,0.001092,0.958000,0.275749,98,,
294, ,0.001060,0.956000,0.277494,99,,
297, ,0.001036,0.959000,0.279755,100,,
300, ,0.001012,0.956000,0.278183,101,,
303, ,0.001005,0.958000,0.282901,102,,
306, ,0.000965,0.957000,0.282860,103,,
309, ,0.000933,0.956000,0.281893,104,,
312, ,0.000912,0.958000,0.286022,105,,
315, ,0.000895,0.957000,0.284173,106,,
318, ,0.000879,0.956000,0.284481,107,,
321, ,0.000851,0.958000,0.286043,108,,
324, ,0.000832,0.958000,0.285313,109,,
327, ,0.000820,0.958000,0.288728,110,,
330, ,0.000803,0.958000,0.289102,111,,
333, ,0.000780,0.958000,0.288946,112,,
336, ,0.000776,0.958000,0.291120,113,,
339, ,0.000751,0.957000,0.289751,114,,
342, ,0.000733,0.957000,0.289605,115,,
345, ,0.000724,0.957000,0.290109,116,,
348, ,0.000710,0.957000,0.292701,117,,
351, ,0.000699,0.958000,0.293545,118,,
354, ,0.000679,0.959000,0.293558,119,,
357, ,0.000666,0.957000,0.294584,120,,
360, ,0.000650,0.958000,0.296967,121,,
363, ,0.000655,0.957000,0.294961,122,,
366, ,0.000630,0.957000,0.296520,123,,
369, ,0.000628,0.958000,0.297865,124,,
372, ,0.000608,0.957000,0.295866,125,,
375, ,0.000604,0.958000,0.299627,126,,
378, ,0.000593,0.957000,0.299837,127,,
381, ,0.000583,0.957000,0.299527,128,,
384, ,0.000573,0.957000,0.299767,129,,
387, ,0.244922,0.848000,0.447393,130,,
390, ,0.232449,0.854000,0.432539,131,,
393, ,0.241162,0.852000,0.429651,132,,
396, ,0.220329,0.828000,0.514339,133,,
399, ,0.220842,0.844000,0.507901,134,,
402, ,0.230294,0.856000,0.434781,135,,
405, ,0.205749,0.850000,0.463597,136,,
408, ,0.207062,0.859000,0.438568,137,,
411, ,0.202217,0.844000,0.505018,138,,
414, ,0.198052,0.858000,0.453341,139,,
417, ,0.210043,0.860000,0.425639,140,,
420, ,0.198771,0.856000,0.442484,141,,
423, ,0.189833,0.844000,0.482488,142,,
426, ,0.183916,0.851000,0.466049,143,,
429, ,0.173053,0.854000,0.473229,144,,
432, ,0.186270,0.852000,0.487274,145,,
435, ,0.182436,0.847000,0.479997,146,,
438, ,0.167949,0.846000,0.512886,147,,
441, ,0.155889,0.849000,0.463105,148,,
444, ,0.149251,0.850000,0.461616,149,,
447, ,0.169254,0.849000,0.515838,150,,
